borrower_id,age,employment_status,monthly_income,credit_score,loan_amount,interest_rate,loan_tenure_months,days_past_due,number_of_missed_payments,contact_response_rate,prior_collection_attempts,preferred_contact_channel,region,customer_tenure,emi_amount,last_payment_amount,outstanding_balance,repayment_status,recovered
BRW-00020,64,Employed,42537.76,570,230730.5,16.8,24,101,4,0.22,9,WhatsApp,Central,36,11385.68,13106.73,190314.81,Defaulted,1
BRW-00021,50,Employed,63028.98,748,103928.22,19.19,6,161,8,0.44,8,Email,West,40,18303.68,4624.3,14115.56,Defaulted,0
BRW-00022,58,Unemployed,45131.83,411,461655.38,22.13,36,15,3,0.1,10,Email,West,26,17661.89,6354.67,371750.77,Late,0
BRW-00023,22,Employed,45867.96,538,287070.13,23.95,48,51,2,0.06,1,Phone,South,9,9351.08,24.17,158657.35,Late,0
BRW-00024,41,Employed,41016.11,443,367275.85,19.56,48,97,12,0.52,9,WhatsApp,North,53,11090.42,2998.47,112973.73,Defaulted,0
BRW-00025,53,Self-Employed,55266.76,673,321661.07,12.69,48,83,10,0.21,8,Phone,West,81,8579.95,4308.36,279250.73,Late,0
BRW-00026,32,Unemployed,38682.02,319,499043.53,12.43,48,57,2,0.21,4,Email,West,70,13247.34,7340.15,171410.78,Late,1
BRW-00027,42,Unemployed,59646.47,588,233591.97,12.6,48,1,1,0.02,5,WhatsApp,South,86,6220.41,1988.03,90720.12,Late,0
BRW-00028,64,Employed,28017.76,496,218236.46,9.12,48,76,0,0.32,6,WhatsApp,South,80,5443.27,981.9,34196.37,Late,1
BRW-00029,45,Self-Employed,28516.26,681,186468.53,8.38,48,88,2,0.22,6,Email,South,86,4585.58,3098.4,182710.16,Late,0
BRW-00030,47,Employed,55311.4,791,187197.95,17.08,36,76,7,0.1,3,SMS,East,53,6681.57,3280.83,152724.35,Late,0
BRW-00031,62,Employed,43671.84,463,145127.4,20.87,48,86,11,0.33,3,WhatsApp,Central,39,4483.83,2293.56,33857.0,Late,0
BRW-00032,48,Unemployed,38191.63,548,490508.76,8.1,60,33,5,0.45,4,Email,West,61,9969.24,10706.73,265166.48,Late,0
BRW-00033,36,Employed,58350.87,367,436683.2,16.85,60,284,1,0.17,8,WhatsApp,Central,52,10817.51,7288.1,176014.98,Defaulted,1
BRW-00034,35,Employed,35891.08,320,165169.77,13.63,48,87,7,0.4,9,WhatsApp,North,68,4482.91,2089.07,21332.45,Late,1
BRW-00035,64,Employed,41996.98,811,159562.23,22.23,24,51,12,0.39,0,Email,South,68,8295.93,2526.51,149110.74,Late,0
BRW-00036,23,Unemployed,65988.42,689,60731.65,9.9,36,161,4,0.04,7,WhatsApp,North,73,1956.79,1006.41,51954.06,Defaulted,0
BRW-00037,57,Unemployed,68087.14,835,439745.12,16.8,60,141,11,0.09,7,SMS,South,78,10881.56,11254.17,434571.46,Defaulted,1
BRW-00038,27,Self-Employed,68585.97,410,192165.36,23.52,24,100,3,0.13,6,Email,South,42,10114.01,11713.24,61159.18,Defaulted,1
BRW-00039,41,Unemployed,40768.11,759,290581.54,13.19,12,49,0,0.15,5,Email,North,115,25979.86,11760.48,211972.08,Late,0
BRW-00040,29,Employed,63460.54,377,451185.09,19.74,48,44,11,0.25,10,WhatsApp,Central,90,13667.3,3427.47,93103.12,Late,0
BRW-00041,59,Employed,30765.71,733,209969.32,22.06,6,23,12,0.45,2,SMS,North,67,37280.69,40912.71,102518.34,Late,1
BRW-00042,38,Employed,31396.46,679,405365.34,10.57,48,17,0,0.26,10,SMS,East,96,10392.43,1801.26,349451.51,Late,1
BRW-00043,24,Employed,9743.16,739,220839.96,23.88,48,42,3,0.32,7,Phone,West,75,7185.15,2564.11,23685.52,Late,1
BRW-00044,45,Employed,70093.02,638,353461.06,20.85,24,51,11,0.39,6,Email,West,51,18136.8,4443.06,188264.14,Late,0
BRW-00045,34,Retired,32040.3,723,221280.36,9.77,12,16,12,0.28,7,WhatsApp,Central,3,19430.4,13193.15,108698.87,Late,0
BRW-00046,29,Employed,43102.01,468,202451.98,12.63,24,151,8,0.16,1,WhatsApp,Central,13,9589.79,4702.54,146149.81,Defaulted,1
BRW-00047,46,Employed,31345.13,561,495447.53,17.81,36,48,9,0.12,7,Phone,Central,108,17864.43,6156.08,155636.78,Late,1
BRW-00048,22,Employed,55427.48,528,310051.42,22.1,12,44,9,0.19,6,WhatsApp,North,13,29033.99,26755.22,79359.2,Late,0
BRW-00049,40,Employed,39365.5,460,190021.68,10.71,60,34,5,0.46,5,SMS,North,120,4104.1,3270.72,130284.5,Late,1
BRW-00050,48,Retired,25427.75,726,136331.54,19.56,12,3,0,0.17,8,Email,North,61,12600.31,15052.5,92314.26,Late,1
BRW-00051,27,Employed,51624.94,421,29485.52,11.97,12,127,11,0.05,7,SMS,South,24,2619.34,980.64,22898.61,Defaulted,0
BRW-00052,64,Employed,23494.05,448,356217.51,20.79,24,22,7,0.34,4,Email,North,20,18267.75,18529.66,114781.16,Late,0
BRW-00053,28,Unemployed,32438.91,410,192357.14,18.78,48,61,11,0.05,4,Phone,West,74,5729.19,2079.75,22062.05,Late,0
BRW-00054,55,Employed,13396.66,520,412414.54,16.13,48,55,8,0.2,8,Email,West,87,11715.42,127.05,367115.73,Late,1
BRW-00055,34,Employed,23640.63,363,188295.55,18.22,48,52,1,0.15,7,SMS,South,116,5552.85,1005.49,53796.92,Late,1
BRW-00056,37,Employed,47677.94,653,192931.3,21.96,48,44,5,0.27,3,WhatsApp,North,106,6074.32,3706.34,91868.43,Late,1
BRW-00057,56,Self-Employed,15531.96,773,391798.69,13.88,48,11,6,0.12,8,Email,North,97,10682.91,10383.91,204381.97,Late,1
BRW-00058,60,Retired,22782.81,784,249838.66,20.19,36,19,10,0.24,10,Phone,East,55,9309.1,641.35,67107.02,Late,1
BRW-00059,24,Unemployed,44964.47,312,443598.44,10.12,6,44,12,0.27,5,Phone,East,35,76130.6,76010.12,252295.12,Late,1
BRW-00060,22,Employed,36845.9,452,299166.52,19.07,60,92,0,0.03,4,WhatsApp,West,78,7772.07,6678.46,276089.29,Defaulted,0
BRW-00061,26,Unemployed,74880.55,538,127915.96,19.89,12,33,10,0.08,9,Phone,Central,117,11842.7,490.56,44031.04,Late,0
BRW-00062,62,Employed,72508.45,489,288453.21,14.81,6,13,4,0.41,6,SMS,West,80,50173.42,6399.87,163929.62,Late,1
BRW-00063,24,Employed,31981.16,385,11960.82,20.59,36,5,10,0.28,8,Email,South,30,448.11,40.67,4519.12,Late,1
BRW-00064,49,Employed,53357.06,320,163074.71,16.69,48,64,10,0.36,0,Email,North,83,4679.41,3812.74,160245.83,Late,0
BRW-00065,38,Employed,56239.24,618,111896.65,22.95,36,32,4,0.22,8,SMS,East,33,4328.57,2914.15,33405.47,Late,1
BRW-00066,46,Self-Employed,36037.82,457,330552.05,9.36,60,8,2,0.7,9,Phone,West,41,6919.61,2979.79,65580.61,Late,1
BRW-00067,64,Self-Employed,22566.88,780,76658.91,9.66,60,67,1,0.14,4,SMS,South,66,1615.98,171.25,17505.57,Late,1
BRW-00068,54,Retired,44815.52,375,152147.75,21.4,36,13,0,0.72,8,Email,Central,114,5763.47,2717.92,65475.97,Late,1
BRW-00069,30,Self-Employed,42407.31,628,172341.19,21.4,6,42,5,0.09,4,Email,West,102,30542.76,25002.54,102985.3,Late,0
BRW-00070,56,Self-Employed,38463.53,715,11613.68,15.28,12,21,6,0.39,6,Email,North,49,1049.77,117.67,8143.63,Late,0
BRW-00071,34,Employed,51634.75,502,32915.62,23.41,24,159,1,0.39,6,Email,North,8,1730.61,1778.9,19952.52,Defaulted,1
BRW-00072,51,Employed,33739.06,528,162451.8,18.71,24,15,1,0.32,8,WhatsApp,East,84,8166.1,616.46,148640.62,Late,0
BRW-00073,35,Self-Employed,27720.04,451,118954.66,23.72,60,32,4,0.33,4,Email,South,3,3402.78,2483.46,50467.94,Late,1
BRW-00074,28,Employed,46636.24,371,67284.3,16.28,12,189,4,0.08,6,Phone,Central,85,6113.68,1387.67,49864.41,Defaulted,0
BRW-00075,34,Unemployed,50789.55,524,85539.21,10.83,48,22,12,0.34,4,SMS,Central,120,2203.75,242.34,29199.92,Late,0
BRW-00076,43,Employed,27350.33,772,419413.11,14.83,36,61,2,0.12,3,Phone,South,65,14504.2,6178.29,299286.47,Late,0
BRW-00077,60,Employed,58921.36,659,344826.59,23.68,48,22,2,0.18,0,Email,East,85,11181.06,8948.35,321803.56,Late,1
BRW-00078,41,Employed,18442.78,839,247217.59,13.61,60,7,0,0.25,10,Phone,North,114,5702.46,828.36,242412.52,Late,1
BRW-00079,36,Employed,36328.3,345,455348.64,23.29,36,59,2,0.35,4,WhatsApp,Central,72,17695.32,10101.14,344573.53,Late,1
BRW-00080,65,Employed,41129.87,300,24480.87,20.65,24,147,8,0.13,3,SMS,South,2,1253.76,610.99,23212.81,Defaulted,0
BRW-00081,38,Self-Employed,35456.64,544,179018.12,14.79,60,36,1,0.04,10,Email,East,87,4239.12,2174.44,127530.86,Late,0
BRW-00082,44,Employed,36524.09,518,413458.02,16.44,60,58,0,0.37,0,Phone,North,41,10151.41,11492.41,399762.89,Late,1
BRW-00083,46,Self-Employed,73066.12,590,317861.61,17.52,12,56,8,0.54,9,WhatsApp,South,53,29068.99,12175.14,288687.8,Late,0
BRW-00084,45,Employed,32236.74,757,491026.84,18.49,6,32,4,0.5,0,WhatsApp,East,75,86307.48,102701.99,96220.48,Late,0
BRW-00085,65,Employed,81618.33,503,472812.31,8.77,60,57,7,0.34,4,WhatsApp,West,16,9762.11,6307.0,249035.37,Late,1
BRW-00086,61,Employed,51556.9,501,93271.82,22.9,6,17,10,0.44,8,SMS,South,9,16599.95,16782.17,38493.74,Late,1
BRW-00087,49,Unemployed,46380.83,781,486273.63,17.35,12,28,3,0.39,0,Phone,Central,113,44431.28,18600.59,60443.41,Late,0
BRW-00088,35,Employed,52143.61,810,473312.05,22.86,60,34,7,0.41,7,Phone,South,96,13304.85,1353.48,246223.46,Late,1
BRW-00089,65,Unemployed,82948.92,577,193069.36,17.93,60,118,11,0.46,8,SMS,North,111,4895.34,495.82,45084.8,Defaulted,1
BRW-00090,21,Employed,30096.1,315,491611.34,14.61,24,25,4,0.14,10,WhatsApp,South,39,23745.59,16360.22,65289.73,Late,0
BRW-00091,45,Unemployed,28193.73,824,27563.63,16.85,36,60,5,0.28,10,Email,North,64,980.66,1094.32,13796.05,Late,0
BRW-00092,27,Employed,33677.01,655,333767.77,21.19,6,14,5,0.72,9,Phone,East,36,59116.14,5052.36,103183.3,Late,1
BRW-00093,29,Self-Employed,45482.15,655,140412.42,12.88,24,17,5,0.26,3,Email,West,23,6667.55,5513.67,132235.17,Late,0
BRW-00094,44,Self-Employed,19113.43,377,73436.92,23.28,60,62,1,0.31,7,WhatsApp,North,47,2082.05,1407.26,61057.48,Late,1
BRW-00095,21,Retired,45335.09,366,292992.11,15.19,12,85,9,0.2,0,SMS,East,49,26471.25,20719.07,281434.75,Late,1
BRW-00096,64,Employed,70403.21,513,160111.65,23.28,48,37,9,0.53,3,Email,East,55,5156.41,1333.7,143030.69,Late,0
BRW-00097,28,Employed,47271.11,748,336744.42,22.03,24,24,8,0.17,9,Phone,West,119,17474.67,1478.54,254296.17,Late,1
BRW-00098,44,Employed,40609.72,732,274590.72,20.17,24,143,6,0.3,1,Phone,Central,94,13998.33,1255.28,175155.47,Defaulted,0
BRW-00099,31,Unemployed,35727.59,844,202368.81,15.21,48,8,2,0.04,9,SMS,Central,10,5653.64,1673.87,32158.24,Late,0
BRW-00100,37,Self-Employed,58477.68,414,99092.86,17.18,60,76,1,0.09,3,WhatsApp,South,63,2472.31,633.82,33614.93,Late,1
BRW-00101,28,Unemployed,32612.51,719,304612.6,21.33,24,69,3,0.77,1,Phone,Central,95,15702.13,2380.9,225311.87,Late,1
BRW-00102,55,Employed,72695.94,798,416323.01,16.48,6,69,7,0.41,2,Phone,South,108,72760.28,23110.09,191950.97,Late,0
BRW-00103,55,Employed,74000.4,679,304002.19,19.68,60,162,8,0.2,0,SMS,North,26,8000.17,5126.26,119420.53,Defaulted,1
BRW-00104,53,Employed,48851.26,442,309156.05,20.55,6,77,9,0.15,9,Email,North,48,54658.04,62278.28,59843.74,Late,0
BRW-00105,25,Retired,44827.27,323,260800.31,15.97,6,21,1,0.33,2,WhatsApp,South,103,45513.67,50371.0,42553.66,Late,1
BRW-00106,62,Self-Employed,60459.9,838,200237.66,16.35,24,26,5,0.46,6,Email,West,106,9837.78,3207.67,57866.49,Late,1
BRW-00107,59,Retired,61421.98,374,234154.44,10.76,60,29,7,0.05,10,WhatsApp,West,30,5063.1,402.27,199293.11,Late,0
BRW-00108,61,Employed,32910.12,834,494875.46,11.54,24,1,2,0.23,7,Email,Central,2,23189.34,27705.7,344786.83,Late,1
BRW-00109,48,Self-Employed,37101.67,340,377337.57,22.43,24,145,10,0.15,5,Email,North,29,19655.8,11237.02,153520.53,Defaulted,1
BRW-00110,27,Self-Employed,25164.79,712,220974.14,21.37,60,4,8,0.48,0,Phone,North,54,6024.18,7072.15,34234.56,Late,1
BRW-00111,29,Employed,51135.97,714,234075.24,7.67,60,71,3,0.1,6,Email,West,32,4709.32,3038.31,63091.53,Late,1
BRW-00112,28,Unemployed,54999.42,748,254819.68,21.84,60,78,4,0.19,2,WhatsApp,East,108,7014.68,7461.05,128657.52,Late,0
BRW-00113,32,Retired,24751.12,735,333063.96,7.92,60,110,11,0.12,8,SMS,West,115,6740.59,3617.44,79234.63,Defaulted,1
BRW-00114,54,Unemployed,38172.02,538,238319.53,15.06,12,48,6,0.23,10,SMS,West,38,21517.07,16060.94,187400.27,Late,1
BRW-00115,53,Self-Employed,24791.19,341,346227.77,8.61,60,77,10,0.05,1,Email,East,21,7121.76,4578.5,280365.4,Late,1
BRW-00116,43,Employed,31518.0,309,171302.03,23.49,48,21,10,0.29,8,WhatsApp,Central,27,5536.57,1460.84,38231.87,Late,0
BRW-00117,44,Employed,53265.26,564,211213.42,23.54,60,81,4,0.21,9,WhatsApp,South,116,6019.92,5517.61,159293.82,Late,1
BRW-00118,57,Retired,33997.77,744,433386.03,17.58,24,25,3,0.16,1,Phone,Central,88,21548.56,1417.18,243136.16,Late,0
BRW-00119,55,Employed,40487.61,438,171163.77,13.97,48,138,3,0.16,1,SMS,East,34,4674.73,2033.01,165368.74,Defaulted,0
BRW-00120,64,Self-Employed,20590.32,495,482574.0,15.95,36,10,4,0.17,3,SMS,East,23,16953.96,17697.95,390311.14,Late,0
BRW-00121,60,Self-Employed,47804.85,373,94527.42,20.08,6,22,2,0.17,1,Phone,Central,116,16690.02,10067.76,59246.8,Late,0
BRW-00122,42,Self-Employed,44335.9,524,128423.11,11.18,12,41,8,0.24,6,SMS,South,78,11361.03,1058.56,82608.95,Late,0
BRW-00123,47,Retired,34065.61,401,237203.08,14.79,48,89,11,0.23,2,WhatsApp,Central,39,6576.32,1637.74,61914.96,Late,0
BRW-00124,55,Employed,42164.79,563,400730.28,19.66,6,82,1,0.05,10,Email,North,69,70669.99,9297.87,362366.25,Late,1
BRW-00125,21,Employed,47704.42,460,368471.98,14.02,12,14,11,0.1,3,Email,North,117,33087.5,11023.43,222307.61,Late,0
BRW-00126,55,Employed,32776.98,532,95488.35,8.03,60,9,6,0.08,0,WhatsApp,North,73,1937.53,384.36,58886.45,Late,1
BRW-00127,57,Employed,22856.06,790,125975.66,15.87,6,21,3,0.11,9,Email,South,45,21978.43,18777.07,77837.4,Late,0
BRW-00128,34,Employed,72083.62,610,291878.86,19.67,24,39,7,0.41,3,Phone,South,63,14808.4,11718.06,101752.53,Late,0
BRW-00129,23,Employed,35500.91,526,154630.73,23.62,24,46,6,0.18,3,SMS,East,111,8146.2,1320.46,128479.82,Late,1
BRW-00130,21,Unemployed,43548.6,572,216939.41,8.11,60,33,7,0.3,3,SMS,West,101,4410.18,2354.99,190061.82,Late,0
BRW-00131,25,Retired,60162.6,616,248431.15,16.41,6,64,3,0.23,10,Phone,South,8,43409.38,15410.76,89210.73,Late,0
BRW-00132,46,Employed,97935.83,385,301180.54,14.92,60,33,10,0.02,8,Email,West,7,7152.42,2894.29,149865.36,Late,0
BRW-00133,34,Employed,26332.7,590,133015.15,11.5,60,172,1,0.1,2,Email,North,30,2925.35,2021.93,34748.32,Defaulted,1
BRW-00134,59,Retired,51747.41,768,89938.67,18.02,12,18,6,0.2,6,Phone,North,12,8246.43,8893.17,28302.64,Late,1
BRW-00135,47,Employed,34386.72,703,205296.06,10.2,6,58,11,0.09,3,WhatsApp,West,20,35241.12,37947.29,82607.96,Late,1
BRW-00136,29,Employed,36918.15,726,50192.85,12.18,36,56,8,0.11,10,SMS,Central,64,1671.44,828.41,45765.36,Late,0
BRW-00137,35,Employed,34196.82,674,268114.93,20.4,60,19,5,0.3,0,Email,East,29,7163.21,3379.85,177905.97,Late,1
BRW-00138,35,Self-Employed,28115.18,551,421406.53,15.1,12,31,6,0.45,9,Email,East,120,38055.33,23654.09,265129.64,Late,0
BRW-00139,46,Employed,44380.63,832,68298.07,23.9,12,27,5,0.26,2,WhatsApp,Central,55,6454.93,3672.46,65025.34,Late,1
BRW-00140,62,Retired,22882.46,606,65237.96,13.88,6,11,1,0.37,8,SMS,West,12,11317.39,839.09,52985.52,Late,1
BRW-00141,33,Employed,59202.11,729,49306.72,15.14,48,38,12,0.19,9,Email,West,84,1375.74,955.45,5642.93,Late,1
BRW-00142,52,Self-Employed,45825.04,563,425452.03,12.45,60,29,8,0.34,5,WhatsApp,South,22,9560.98,6708.74,90153.78,Late,1
BRW-00143,59,Employed,51336.52,367,49545.4,11.4,60,11,4,0.19,7,SMS,North,110,1087.15,587.5,16002.09,Late,1
BRW-00144,52,Employed,38007.17,406,491896.4,22.72,6,35,11,0.58,8,WhatsApp,North,23,87500.35,43466.47,183737.32,Late,0
BRW-00145,24,Self-Employed,39491.94,699,185582.33,19.86,48,32,2,0.13,7,SMS,West,48,5633.5,6347.46,157866.72,Late,1
BRW-00146,50,Unemployed,49313.46,498,171093.46,13.0,12,8,3,0.28,4,Email,South,45,15281.6,11017.86,135663.04,Late,1
BRW-00147,57,Unemployed,27539.24,491,54899.56,19.05,24,8,3,0.41,5,Email,South,26,2768.74,2712.08,12676.46,Late,1
BRW-00148,43,Self-Employed,39630.14,813,296964.19,23.44,60,62,12,0.15,9,SMS,East,109,8446.8,9668.29,172399.42,Late,1
BRW-00149,59,Retired,32105.8,741,297082.28,8.72,24,73,11,0.3,1,WhatsApp,East,111,13533.99,13156.69,58883.12,Late,0
BRW-00150,65,Unemployed,31641.47,300,251964.86,11.86,60,167,8,0.44,10,Phone,West,107,5587.01,6322.12,64401.14,Defaulted,1
BRW-00151,35,Unemployed,13352.43,657,162399.87,10.81,6,5,10,0.31,8,Phone,East,28,27926.41,25445.21,51638.11,Late,1
BRW-00152,63,Employed,65089.9,414,190604.64,21.85,60,7,4,0.12,5,WhatsApp,South,55,5248.05,1071.36,174358.56,Late,0
BRW-00153,49,Employed,34701.92,496,167046.66,10.46,48,3,1,0.16,7,Email,Central,104,4273.73,1163.81,71688.02,Late,0
BRW-00154,56,Employed,62450.64,573,218811.74,12.58,60,45,5,0.31,6,SMS,North,73,4931.72,1147.48,202233.63,Late,1
BRW-00155,33,Self-Employed,61031.88,459,177476.17,16.47,6,58,11,0.32,9,WhatsApp,West,69,31016.42,11989.44,137662.35,Late,0
BRW-00156,52,Employed,25710.0,472,341003.49,17.75,36,30,6,0.33,1,SMS,East,2,12285.37,5233.46,264095.4,Late,0
BRW-00157,27,Employed,28673.83,844,154935.37,20.84,6,95,7,0.64,1,SMS,East,106,27414.66,26685.93,127533.88,Defaulted,1
BRW-00158,42,Unemployed,83407.54,757,181910.73,14.22,6,69,4,0.48,4,Phone,South,28,31588.26,13678.42,33902.56,Late,0
BRW-00159,48,Unemployed,71263.89,732,223375.34,16.32,6,246,7,0.05,2,Email,East,77,39021.28,34052.4,186106.35,Defaulted,0
BRW-00160,22,Retired,44527.22,780,11941.3,23.43,6,8,7,0.16,0,Email,North,79,2128.41,2308.43,3908.69,Late,0
BRW-00161,62,Employed,48860.6,754,251120.46,12.41,48,3,3,0.31,9,Phone,West,53,6663.63,916.01,247488.82,Late,0
BRW-00162,65,Self-Employed,35537.3,495,135351.7,11.59,60,19,6,0.28,10,WhatsApp,East,14,2982.86,0.94,116860.34,Late,0
BRW-00163,26,Employed,51485.29,608,37513.72,19.22,48,1,11,0.07,2,SMS,Central,107,1126.02,1200.78,37400.47,Late,1
BRW-00164,48,Employed,34242.27,793,456400.44,20.22,48,159,12,0.17,6,Phone,Central,46,13941.98,3986.12,430570.3,Defaulted,0
BRW-00165,48,Employed,14514.69,738,167985.18,14.34,36,21,8,0.43,9,Phone,West,103,5769.11,1062.24,71184.78,Late,1
BRW-00166,64,Employed,25176.66,658,218781.78,11.01,36,48,9,0.05,8,Email,Central,78,7163.67,2537.73,207300.33,Late,1
BRW-00167,64,Employed,45316.39,335,415398.15,20.35,60,22,3,0.04,10,WhatsApp,Central,67,11086.56,2474.87,164999.04,Late,0
BRW-00168,40,Unemployed,28033.99,333,91726.6,18.56,60,16,8,0.38,3,Phone,East,74,2357.29,2245.04,63598.22,Late,0
BRW-00169,50,Employed,43990.84,387,426651.32,21.96,6,9,11,0.04,7,SMS,Central,117,75731.87,57662.97,357015.47,Late,0
BRW-00170,31,Self-Employed,28880.08,315,128402.59,21.43,48,23,3,0.5,5,Phone,East,102,4005.83,804.23,56981.57,Late,0
BRW-00171,48,Self-Employed,33264.69,720,298628.57,10.89,36,57,0,0.3,3,SMS,North,70,9761.17,6835.52,84655.39,Late,1
BRW-00172,45,Employed,57797.48,425,345982.41,21.23,24,208,3,0.19,2,WhatsApp,South,20,17817.64,4449.23,313251.87,Defaulted,1
BRW-00173,59,Employed,48712.21,307,453456.83,10.39,6,48,1,0.2,4,Phone,East,35,77882.86,18463.47,87496.14,Late,1
BRW-00174,53,Employed,44855.03,771,307742.62,21.75,12,45,5,0.38,2,SMS,South,48,28765.97,20554.33,131860.91,Late,1
BRW-00175,21,Self-Employed,58184.46,767,232083.58,20.21,48,2,12,0.23,7,Email,East,43,7088.38,5653.87,136120.59,Late,0
BRW-00176,47,Employed,52209.13,809,290411.98,16.9,6,109,7,0.25,10,Email,East,20,50815.61,21110.96,239379.25,Defaulted,1
BRW-00177,33,Employed,66698.45,701,109020.41,18.1,60,2,5,0.41,5,Phone,West,113,2774.34,2541.54,96151.69,Late,1
BRW-00178,61,Employed,38102.11,475,347646.42,9.22,6,140,8,0.56,10,Email,East,56,59509.14,59786.3,194845.36,Defaulted,1
BRW-00179,23,Self-Employed,38555.48,666,101571.55,8.16,12,46,5,0.18,5,Phone,Central,108,8843.07,9723.96,62573.87,Late,1
BRW-00180,59,Retired,25483.36,787,283051.33,12.96,60,11,10,0.13,6,SMS,Central,3,6434.49,4834.05,245813.96,Late,1
BRW-00181,26,Employed,38565.29,317,327325.79,21.05,24,35,6,0.65,6,SMS,East,68,16827.89,4443.07,170311.21,Late,1
BRW-00182,28,Self-Employed,59471.55,355,450305.76,15.19,36,294,11,0.06,7,WhatsApp,North,11,15651.93,14057.9,271621.1,Defaulted,0
BRW-00183,47,Self-Employed,64499.81,334,230593.01,11.19,36,21,4,0.15,4,Email,Central,62,7570.08,979.68,26885.98,Late,1
BRW-00184,29,Retired,59404.58,646,389913.28,21.27,12,18,7,0.07,4,WhatsApp,South,105,36356.84,7906.08,372759.76,Late,0
BRW-00185,57,Unemployed,18087.12,331,92089.94,11.27,12,7,1,0.3,5,Phone,North,61,8150.66,8145.33,56184.11,Late,0
BRW-00186,53,Self-Employed,61247.18,432,86536.27,20.96,36,54,1,0.3,3,SMS,South,95,3258.48,3561.5,65319.04,Late,0
BRW-00187,62,Self-Employed,17422.22,498,267151.03,14.97,24,5,10,0.18,1,Phone,East,58,12949.45,1036.74,86322.29,Late,0
BRW-00188,64,Unemployed,58471.76,555,302206.97,15.15,24,86,7,0.56,1,WhatsApp,East,29,14674.55,5496.29,208803.74,Late,0
BRW-00189,44,Employed,39483.23,641,319847.11,12.0,6,149,5,0.24,1,Email,East,38,55189.1,41668.49,164408.81,Defaulted,0
BRW-00190,35,Employed,55538.0,530,375380.28,22.35,12,159,1,0.39,1,Phone,Central,84,35196.75,39644.82,75535.19,Defaulted,1
BRW-00191,52,Employed,25013.27,600,154516.43,8.96,12,6,5,0.31,4,WhatsApp,North,88,13509.82,9252.48,130898.53,Late,1
BRW-00192,52,Unemployed,62567.51,846,315077.78,9.88,12,48,12,0.18,1,Email,South,87,27682.76,27272.81,269519.06,Late,0
BRW-00193,44,Unemployed,23025.38,325,102188.17,17.99,60,6,10,0.39,6,Phone,West,22,2594.35,2872.74,16078.48,Late,0
