borrower_id,default_probability,repayment_probability,risk_tier,priority_score
BRW-00042,0.1095,0.8905,Low Risk,23.86
BRW-00043,0.1882,0.8118,Low Risk,3.61
BRW-00044,0.0544,0.9456,Low Risk,5.73
BRW-00045,0.1547,0.8453,Low Risk,24.04
BRW-00046,0.3019,0.6981,Medium Risk,0.0
BRW-00047,0.4704,0.5296,Medium Risk,44.38
BRW-00048,0.2203,0.7797,Low Risk,0.0
BRW-00049,0.0404,0.9596,Low Risk,0.0
BRW-00050,0.1543,0.8457,Low Risk,20.86
BRW-00051,0.6161,0.3839,High Risk,63.18
BRW-00052,0.0813,0.9187,Low Risk,5.16
BRW-00053,0.0574,0.9426,Low Risk,0.0
BRW-00054,0.2158,0.7842,Low Risk,22.85
BRW-00055,0.6932,0.3068,High Risk,32.0
BRW-00056,0.1109,0.8891,Low Risk,0.0
BRW-00057,0.0728,0.9272,Low Risk,0.0
BRW-00058,0.0942,0.9058,Low Risk,20.87
BRW-00059,0.3378,0.6622,Medium Risk,19.96
BRW-00060,0.1175,0.8825,Low Risk,20.75
BRW-00061,0.1069,0.8931,Low Risk,0.0
BRW-00062,0.129,0.871,Low Risk,11.69
BRW-00063,0.8336,0.1664,Very High Risk,73.24
BRW-00064,0.167,0.833,Low Risk,0.0
BRW-00065,0.1881,0.8119,Low Risk,0.0
BRW-00066,0.3432,0.6568,Medium Risk,19.55
BRW-00067,0.5333,0.4667,Medium Risk,55.73
BRW-00068,0.1515,0.8485,Low Risk,0.0
BRW-00069,0.1273,0.8727,Low Risk,0.0
BRW-00070,0.4164,0.5836,Medium Risk,53.41
BRW-00071,0.2322,0.7678,Low Risk,0.0
BRW-00072,0.8449,0.1551,Very High Risk,53.7
BRW-00073,0.0961,0.9039,Low Risk,0.0
BRW-00074,0.252,0.748,Low Risk,0.0
BRW-00075,0.0502,0.9498,Low Risk,0.0
BRW-00076,0.2675,0.7325,Low Risk,48.27
BRW-00077,0.1367,0.8633,Low Risk,3.02
BRW-00078,0.1845,0.8155,Low Risk,0.0
BRW-00079,0.2583,0.7417,Low Risk,23.61
BRW-00080,0.3927,0.6073,Medium Risk,0.0
BRW-00081,0.0574,0.9426,Low Risk,0.0
BRW-00082,0.0408,0.9592,Low Risk,0.0
BRW-00083,0.1298,0.8702,Low Risk,0.0
BRW-00084,0.1038,0.8962,Low Risk,7.28
BRW-00085,0.1427,0.8573,Low Risk,17.26
BRW-00086,0.0819,0.9181,Low Risk,21.45
BRW-00087,0.4827,0.5173,Medium Risk,4.87
BRW-00088,0.1046,0.8954,Low Risk,0.0
BRW-00089,0.0667,0.9333,Low Risk,0.0
BRW-00090,0.5643,0.4357,Medium Risk,59.64
BRW-00091,0.6408,0.3592,High Risk,80.99
BRW-00092,0.1225,0.8775,Low Risk,0.0
BRW-00093,0.1635,0.8365,Low Risk,0.0
BRW-00094,0.1548,0.8452,Low Risk,0.0
BRW-00095,0.1421,0.8579,Low Risk,15.58
BRW-00096,0.129,0.871,Low Risk,14.93
BRW-00097,0.073,0.927,Low Risk,0.0
BRW-00098,0.0757,0.9243,Low Risk,8.65
BRW-00099,0.1546,0.8454,Low Risk,0.0
BRW-00100,0.208,0.792,Low Risk,27.07
BRW-00101,0.1163,0.8837,Low Risk,0.0
BRW-00102,0.0776,0.9224,Low Risk,0.0
BRW-00103,0.2857,0.7143,Low Risk,44.68
BRW-00104,0.1628,0.8372,Low Risk,19.39
BRW-00105,0.6748,0.3252,High Risk,86.59
BRW-00106,0.1156,0.8844,Low Risk,0.0
BRW-00107,0.1032,0.8968,Low Risk,0.0
BRW-00108,0.1388,0.8612,Low Risk,0.0
BRW-00109,0.1659,0.8341,Low Risk,22.74
BRW-00110,0.2789,0.7211,Low Risk,0.0
BRW-00111,0.0699,0.9301,Low Risk,4.27
BRW-00112,0.2392,0.7608,Low Risk,16.15
BRW-00113,0.3889,0.6111,Medium Risk,54.69
BRW-00114,0.0738,0.9262,Low Risk,9.28
BRW-00115,0.124,0.876,Low Risk,0.0
BRW-00116,0.6171,0.3829,High Risk,77.12
BRW-00117,0.1463,0.8537,Low Risk,0.0
BRW-00118,0.8002,0.1998,Very High Risk,33.17
BRW-00119,0.0441,0.9559,Low Risk,0.0
BRW-00120,0.0607,0.9393,Low Risk,0.0
BRW-00121,0.7913,0.2087,High Risk,87.5
BRW-00122,0.4123,0.5877,Medium Risk,0.0
BRW-00123,0.3436,0.6564,Medium Risk,0.0
BRW-00124,0.788,0.212,High Risk,74.48
BRW-00125,0.1622,0.8378,Low Risk,22.79
BRW-00126,0.3713,0.6287,Medium Risk,0.0
BRW-00127,0.0719,0.9281,Low Risk,9.94
BRW-00128,0.3025,0.6975,Medium Risk,27.39
BRW-00129,0.2444,0.7556,Low Risk,0.0
BRW-00130,0.3391,0.6609,Medium Risk,68.38
BRW-00131,0.116,0.884,Low Risk,0.0
BRW-00132,0.201,0.799,Low Risk,0.0
BRW-00133,0.0748,0.9252,Low Risk,7.13
BRW-00134,0.116,0.884,Low Risk,23.85
BRW-00135,0.1447,0.8553,Low Risk,25.38
BRW-00136,0.2673,0.7327,Low Risk,0.0
BRW-00137,0.0516,0.9484,Low Risk,0.0
BRW-00138,0.1052,0.8948,Low Risk,0.0
BRW-00139,0.266,0.734,Low Risk,0.0
BRW-00140,0.1599,0.8401,Low Risk,25.44
BRW-00141,0.4021,0.5979,Medium Risk,0.0
BRW-00142,0.1702,0.8298,Low Risk,0.0
BRW-00143,0.2716,0.7284,Low Risk,42.91
BRW-00144,0.046,0.954,Low Risk,0.0
BRW-00145,0.1419,0.8581,Low Risk,0.0
BRW-00146,0.1958,0.8042,Low Risk,0.0
BRW-00147,0.1648,0.8352,Low Risk,0.0
BRW-00148,0.2166,0.7834,Low Risk,54.88
BRW-00149,0.3329,0.6671,Medium Risk,24.46
BRW-00150,0.2259,0.7741,Low Risk,0.0
BRW-00151,0.114,0.886,Low Risk,9.59
BRW-00152,0.065,0.935,Low Risk,2.47
BRW-00153,0.1687,0.8313,Low Risk,0.0
BRW-00154,0.0718,0.9282,Low Risk,10.73
BRW-00155,0.1435,0.8565,Low Risk,1.21
BRW-00156,0.0419,0.9581,Low Risk,0.0
BRW-00157,0.0502,0.9498,Low Risk,4.72
BRW-00158,0.102,0.898,Low Risk,21.82
BRW-00159,0.5023,0.4977,Medium Risk,67.51
BRW-00160,0.5405,0.4595,Medium Risk,41.78
BRW-00161,0.635,0.365,High Risk,76.94
BRW-00162,0.1629,0.8371,Low Risk,4.13
BRW-00163,0.1616,0.8384,Low Risk,0.0
BRW-00164,0.0869,0.9131,Low Risk,33.31
BRW-00165,0.1057,0.8943,Low Risk,0.06
BRW-00166,0.0929,0.9071,Low Risk,24.19
BRW-00167,0.0437,0.9563,Low Risk,0.0
BRW-00168,0.1886,0.8114,Low Risk,47.02
BRW-00169,0.1435,0.8565,Low Risk,24.35
BRW-00170,0.1141,0.8859,Low Risk,12.44
BRW-00171,0.0469,0.9531,Low Risk,0.0
BRW-00172,0.1101,0.8899,Low Risk,0.0
BRW-00173,0.1166,0.8834,Low Risk,0.0
BRW-00174,0.6552,0.3448,High Risk,0.0
BRW-00175,0.2907,0.7093,Low Risk,0.0
BRW-00176,0.7846,0.2154,High Risk,70.37
BRW-00177,0.1488,0.8512,Low Risk,0.0
BRW-00178,0.3328,0.6672,Medium Risk,66.88
BRW-00179,0.1829,0.8171,Low Risk,21.65
BRW-00180,0.1261,0.8739,Low Risk,31.53
BRW-00181,0.105,0.895,Low Risk,0.0
BRW-00182,0.0541,0.9459,Low Risk,0.0
BRW-00183,0.0296,0.9704,Low Risk,0.0
BRW-00184,0.2758,0.7242,Low Risk,21.79
BRW-00185,0.1552,0.8448,Low Risk,0.0
BRW-00186,0.4602,0.5398,Medium Risk,28.15
BRW-00187,0.0691,0.9309,Low Risk,0.0
BRW-00188,0.7876,0.2124,High Risk,84.87
BRW-00189,0.1244,0.8756,Low Risk,0.0
BRW-00190,0.3452,0.6548,Medium Risk,68.13
BRW-00191,0.0326,0.9674,Low Risk,0.0
BRW-00192,0.7269,0.2731,High Risk,52.52
BRW-00193,0.1068,0.8932,Low Risk,0.0
BRW-00194,0.1578,0.8422,Low Risk,0.0
BRW-00195,0.1103,0.8897,Low Risk,0.0
BRW-00196,0.6503,0.3497,High Risk,82.45
BRW-00197,0.1455,0.8545,Low Risk,0.0
BRW-00198,0.1653,0.8347,Low Risk,23.26
BRW-00199,0.1474,0.8526,Low Risk,0.0
BRW-00200,0.6706,0.3294,High Risk,73.27
BRW-00201,0.0998,0.9002,Low Risk,0.0
BRW-00202,0.1624,0.8376,Low Risk,0.59
BRW-00203,0.0566,0.9434,Low Risk,0.0
BRW-00204,0.0816,0.9184,Low Risk,25.15
BRW-00205,0.0752,0.9248,Low Risk,5.81
BRW-00206,0.164,0.836,Low Risk,22.95
BRW-00207,0.2358,0.7642,Low Risk,0.0
BRW-00208,0.1942,0.8058,Low Risk,0.0
BRW-00209,0.152,0.848,Low Risk,28.42
BRW-00210,0.0939,0.9061,Low Risk,0.0
BRW-00211,0.1024,0.8976,Low Risk,0.0
BRW-00212,0.305,0.695,Medium Risk,0.0
BRW-00213,0.1902,0.8098,Low Risk,24.84
BRW-00214,0.1761,0.8239,Low Risk,27.19
BRW-00215,0.6249,0.3751,High Risk,83.53
BRW-00216,0.2526,0.7474,Low Risk,0.0
BRW-00217,0.4899,0.5101,Medium Risk,0.0
BRW-00218,0.567,0.433,Medium Risk,66.59
BRW-00219,0.0768,0.9232,Low Risk,23.03
BRW-00220,0.1346,0.8654,Low Risk,0.0
BRW-00221,0.7418,0.2582,High Risk,58.15
BRW-00222,0.15,0.85,Low Risk,27.05
BRW-00223,0.097,0.903,Low Risk,24.13
BRW-00224,0.0356,0.9644,Low Risk,0.0
BRW-00225,0.6486,0.3514,High Risk,84.19
BRW-00226,0.0686,0.9314,Low Risk,24.76
BRW-00227,0.1336,0.8664,Low Risk,0.0
BRW-00228,0.1509,0.8491,Low Risk,22.32
BRW-00229,0.7855,0.2145,High Risk,73.39
BRW-00230,0.3491,0.6509,Medium Risk,48.56
BRW-00231,0.0963,0.9037,Low Risk,4.92
BRW-00232,0.5544,0.4456,Medium Risk,79.22
BRW-00233,0.1224,0.8776,Low Risk,16.5
BRW-00234,0.8273,0.1727,Very High Risk,88.03
BRW-00235,0.1245,0.8755,Low Risk,7.75
BRW-00236,0.0795,0.9205,Low Risk,0.0
BRW-00237,0.0772,0.9228,Low Risk,0.0
BRW-00238,0.0946,0.9054,Low Risk,0.0
BRW-00239,0.1181,0.8819,Low Risk,27.07
BRW-00240,0.0684,0.9316,Low Risk,0.0
BRW-00241,0.2886,0.7114,Low Risk,25.43
BRW-00242,0.1433,0.8567,Low Risk,23.76
BRW-00243,0.097,0.903,Low Risk,9.2
BRW-00244,0.3039,0.6961,Medium Risk,9.94
BRW-00245,0.3944,0.6056,Medium Risk,23.38
BRW-00246,0.1567,0.8433,Low Risk,17.42
BRW-00247,0.1701,0.8299,Low Risk,0.0
BRW-00248,0.0694,0.9306,Low Risk,0.0
BRW-00249,0.0935,0.9065,Low Risk,0.0
BRW-00250,0.1295,0.8705,Low Risk,0.84
BRW-00251,0.4711,0.5289,Medium Risk,76.49
BRW-00252,0.1537,0.8463,Low Risk,27.1
BRW-00253,0.1085,0.8915,Low Risk,24.43
BRW-00254,0.0592,0.9408,Low Risk,0.0
BRW-00255,0.0825,0.9175,Low Risk,0.0
BRW-00256,0.1257,0.8743,Low Risk,11.39
BRW-00257,0.1374,0.8626,Low Risk,0.0
BRW-00258,0.0666,0.9334,Low Risk,0.0
BRW-00259,0.1163,0.8837,Low Risk,0.0
BRW-00260,0.743,0.257,High Risk,65.49
BRW-00261,0.0304,0.9696,Low Risk,0.0
BRW-00262,0.1441,0.8559,Low Risk,17.01
BRW-00263,0.1561,0.8439,Low Risk,0.0
BRW-00264,0.1173,0.8827,Low Risk,0.0
BRW-00265,0.0913,0.9087,Low Risk,0.0
BRW-00266,0.1804,0.8196,Low Risk,0.0
BRW-00267,0.2983,0.7017,Low Risk,35.77
BRW-00268,0.1567,0.8433,Low Risk,1.19
BRW-00269,0.2053,0.7947,Low Risk,30.76
BRW-00270,0.801,0.199,Very High Risk,54.75
BRW-00271,0.0719,0.9281,Low Risk,0.0
BRW-00272,0.2969,0.7031,Low Risk,0.0
BRW-00273,0.6672,0.3328,High Risk,3.13
BRW-00274,0.0746,0.9254,Low Risk,0.0
BRW-00275,0.3698,0.6302,Medium Risk,0.0
BRW-00276,0.0923,0.9077,Low Risk,16.15
BRW-00277,0.6587,0.3413,High Risk,20.56
BRW-00278,0.2464,0.7536,Low Risk,0.0
BRW-00279,0.1516,0.8484,Low Risk,19.0
BRW-00280,0.042,0.958,Low Risk,0.0
BRW-00281,0.1778,0.8222,Low Risk,0.0
BRW-00282,0.0369,0.9631,Low Risk,0.0
BRW-00283,0.0748,0.9252,Low Risk,19.29
BRW-00284,0.0641,0.9359,Low Risk,2.75
BRW-00285,0.0481,0.9519,Low Risk,1.86
BRW-00286,0.0498,0.9502,Low Risk,0.0
BRW-00287,0.6029,0.3971,High Risk,36.08
BRW-00288,0.0428,0.9572,Low Risk,0.0
BRW-00289,0.7053,0.2947,High Risk,70.48
BRW-00290,0.1124,0.8876,Low Risk,0.0
BRW-00291,0.6033,0.3967,High Risk,0.0
BRW-00292,0.3451,0.6549,Medium Risk,0.0
BRW-00293,0.4739,0.5261,Medium Risk,25.54
BRW-00294,0.5437,0.4563,Medium Risk,54.04
BRW-00295,0.2006,0.7994,Low Risk,0.0
BRW-00296,0.0903,0.9097,Low Risk,24.76
BRW-00297,0.1401,0.8599,Low Risk,0.0
BRW-00298,0.065,0.935,Low Risk,13.69
BRW-00299,0.0504,0.9496,Low Risk,0.0
BRW-00300,0.397,0.603,Medium Risk,0.0
BRW-00301,0.1176,0.8824,Low Risk,20.49
BRW-00302,0.2495,0.7505,Low Risk,0.0
BRW-00303,0.1249,0.8751,Low Risk,4.78
BRW-00304,0.4805,0.5195,Medium Risk,54.33
BRW-00305,0.1265,0.8735,Low Risk,0.0
BRW-00306,0.159,0.841,Low Risk,0.0
BRW-00307,0.0705,0.9295,Low Risk,0.0
BRW-00308,0.1621,0.8379,Low Risk,0.0
BRW-00309,0.8047,0.1953,Very High Risk,66.29
BRW-00310,0.0804,0.9196,Low Risk,0.0
BRW-00311,0.0961,0.9039,Low Risk,0.0
BRW-00312,0.0727,0.9273,Low Risk,25.46
BRW-00313,0.212,0.788,Low Risk,33.69
BRW-00314,0.3079,0.6921,Medium Risk,32.67
BRW-00315,0.1355,0.8645,Low Risk,0.0
BRW-00316,0.1178,0.8822,Low Risk,0.84
BRW-00317,0.0624,0.9376,Low Risk,0.18
BRW-00318,0.1834,0.8166,Low Risk,0.0
BRW-00319,0.4384,0.5616,Medium Risk,73.7
BRW-00320,0.2239,0.7761,Low Risk,0.0
BRW-00321,0.6072,0.3928,High Risk,57.27
BRW-00322,0.0508,0.9492,Low Risk,0.39
BRW-00323,0.1344,0.8656,Low Risk,0.0
BRW-00324,0.1306,0.8694,Low Risk,0.0
BRW-00325,0.0327,0.9673,Low Risk,0.0
BRW-00326,0.0823,0.9177,Low Risk,0.0
BRW-00327,0.4796,0.5204,Medium Risk,24.3
BRW-00328,0.8214,0.1786,Very High Risk,74.84
BRW-00329,0.0527,0.9473,Low Risk,0.0
BRW-00330,0.6552,0.3448,High Risk,77.69
BRW-00331,0.5301,0.4699,Medium Risk,18.7
BRW-00332,0.3406,0.6594,Medium Risk,4.17
BRW-00333,0.2208,0.7792,Low Risk,23.31
BRW-00334,0.1326,0.8674,Low Risk,0.0
BRW-00335,0.1481,0.8519,Low Risk,19.9
BRW-00336,0.0696,0.9304,Low Risk,21.98
BRW-00337,0.0554,0.9446,Low Risk,17.07
BRW-00338,0.1264,0.8736,Low Risk,0.0
BRW-00339,0.1644,0.8356,Low Risk,21.48
BRW-00340,0.0962,0.9038,Low Risk,0.0
BRW-00341,0.122,0.878,Low Risk,0.0
BRW-00342,0.1973,0.8027,Low Risk,0.0
BRW-00343,0.1757,0.8243,Low Risk,3.31
BRW-00344,0.1599,0.8401,Low Risk,28.44
BRW-00345,0.0747,0.9253,Low Risk,16.71
BRW-00346,0.1024,0.8976,Low Risk,0.0
BRW-00347,0.1153,0.8847,Low Risk,0.0
BRW-00348,0.1422,0.8578,Low Risk,24.64
BRW-00349,0.0771,0.9229,Low Risk,23.56
BRW-00350,0.2145,0.7855,Low Risk,17.9
BRW-00351,0.0797,0.9203,Low Risk,0.0
BRW-00352,0.3087,0.6913,Medium Risk,0.0
BRW-00353,0.4197,0.5803,Medium Risk,0.0
BRW-00354,0.1201,0.8799,Low Risk,11.71
BRW-00355,0.7409,0.2591,High Risk,62.1
BRW-00356,0.0866,0.9134,Low Risk,0.0
BRW-00357,0.0797,0.9203,Low Risk,6.06
BRW-00358,0.0496,0.9504,Low Risk,7.14
BRW-00359,0.0906,0.9094,Low Risk,23.45
BRW-00360,0.0762,0.9238,Low Risk,0.0
BRW-00361,0.8349,0.1651,Very High Risk,84.91
BRW-00362,0.0431,0.9569,Low Risk,0.0
BRW-00363,0.4685,0.5315,Medium Risk,73.09
BRW-00364,0.342,0.658,Medium Risk,0.0
BRW-00365,0.1439,0.8561,Low Risk,0.0
BRW-00366,0.157,0.843,Low Risk,0.0
BRW-00367,0.1511,0.8489,Low Risk,28.74
BRW-00368,0.4812,0.5188,Medium Risk,37.71
BRW-00369,0.3813,0.6187,Medium Risk,0.0
BRW-00370,0.7525,0.2475,High Risk,83.58
BRW-00371,0.8576,0.1424,Very High Risk,47.58
BRW-00372,0.0828,0.9172,Low Risk,0.0
BRW-00373,0.1542,0.8458,Low Risk,27.92
BRW-00374,0.1481,0.8519,Low Risk,21.6
BRW-00375,0.1245,0.8755,Low Risk,23.57
BRW-00376,0.1317,0.8683,Low Risk,24.24
BRW-00377,0.3701,0.6299,Medium Risk,71.06
BRW-00378,0.0668,0.9332,Low Risk,0.0
BRW-00379,0.0419,0.9581,Low Risk,0.0
BRW-00380,0.1007,0.8993,Low Risk,0.0
BRW-00381,0.0762,0.9238,Low Risk,9.49
BRW-00382,0.7607,0.2393,High Risk,36.85
BRW-00383,0.0779,0.9221,Low Risk,14.02
BRW-00384,0.3524,0.6476,Medium Risk,0.0
BRW-00385,0.1017,0.8983,Low Risk,0.0
BRW-00386,0.1421,0.8579,Low Risk,24.68
BRW-00387,0.1354,0.8646,Low Risk,0.0
BRW-00388,0.3892,0.6108,Medium Risk,54.97
BRW-00389,0.0884,0.9116,Low Risk,23.25
BRW-00390,0.3735,0.6265,Medium Risk,0.0
BRW-00391,0.4011,0.5989,Medium Risk,0.0
BRW-00392,0.0824,0.9176,Low Risk,0.0
BRW-00393,0.041,0.959,Low Risk,0.0
BRW-00394,0.0565,0.9435,Low Risk,0.0
BRW-00395,0.0823,0.9177,Low Risk,0.0
BRW-00396,0.1004,0.8996,Low Risk,17.75
BRW-00397,0.1194,0.8806,Low Risk,3.17
BRW-00398,0.1492,0.8508,Low Risk,0.0
BRW-00399,0.0515,0.9485,Low Risk,2.4
BRW-00400,0.5544,0.4456,Medium Risk,79.72
BRW-00401,0.0771,0.9229,Low Risk,6.0
BRW-00402,0.1052,0.8948,Low Risk,2.52
BRW-00403,0.3245,0.6755,Medium Risk,0.0
BRW-00404,0.1572,0.8428,Low Risk,26.07
BRW-00405,0.6761,0.3239,High Risk,77.36
BRW-00406,0.1092,0.8908,Low Risk,0.0
BRW-00407,0.1124,0.8876,Low Risk,0.0
BRW-00408,0.1604,0.8396,Low Risk,58.1
BRW-00409,0.0318,0.9682,Low Risk,0.0
BRW-00410,0.0645,0.9355,Low Risk,17.34
BRW-00411,0.6674,0.3326,High Risk,67.75
BRW-00412,0.186,0.814,Low Risk,0.0
BRW-00413,0.1169,0.8831,Low Risk,0.0
BRW-00414,0.4211,0.5789,Medium Risk,16.21
BRW-00415,0.0519,0.9481,Low Risk,0.0
BRW-00416,0.1348,0.8652,Low Risk,0.0
BRW-00417,0.1167,0.8833,Low Risk,0.0
BRW-00418,0.1918,0.8082,Low Risk,0.25
BRW-00419,0.1044,0.8956,Low Risk,17.17
BRW-00420,0.3689,0.6311,Medium Risk,0.0
BRW-00421,0.5191,0.4809,Medium Risk,67.68
BRW-00422,0.0413,0.9587,Low Risk,0.0
BRW-00423,0.1076,0.8924,Low Risk,0.0
BRW-00424,0.787,0.213,High Risk,70.54
BRW-00425,0.0476,0.9524,Low Risk,1.72
BRW-00426,0.1439,0.8561,Low Risk,0.0
BRW-00427,0.7763,0.2237,High Risk,77.72
BRW-00428,0.2612,0.7388,Low Risk,0.0
BRW-00429,0.1707,0.8293,Low Risk,19.02
BRW-00430,0.0839,0.9161,Low Risk,16.54
BRW-00431,0.0913,0.9087,Low Risk,18.57
BRW-00432,0.1495,0.8505,Low Risk,22.75
BRW-00433,0.0629,0.9371,Low Risk,5.99
BRW-00434,0.0423,0.9577,Low Risk,0.0
BRW-00435,0.0895,0.9105,Low Risk,0.0
BRW-00436,0.5995,0.4005,Medium Risk,76.27
BRW-00437,0.159,0.841,Low Risk,0.0
BRW-00438,0.0772,0.9228,Low Risk,8.35
BRW-00439,0.1456,0.8544,Low Risk,22.42
BRW-00440,0.2881,0.7119,Low Risk,29.69
BRW-00441,0.1223,0.8777,Low Risk,0.0
BRW-00442,0.1985,0.8015,Low Risk,38.1
BRW-00443,0.1906,0.8094,Low Risk,0.0
BRW-00444,0.0566,0.9434,Low Risk,15.26
BRW-00445,0.1617,0.8383,Low Risk,21.49
BRW-00446,0.0758,0.9242,Low Risk,0.0
BRW-00447,0.087,0.913,Low Risk,15.13
BRW-00448,0.0979,0.9021,Low Risk,0.0
BRW-00449,0.0606,0.9394,Low Risk,0.0
BRW-00450,0.1098,0.8902,Low Risk,24.36
BRW-00451,0.4582,0.5418,Medium Risk,0.57
BRW-00452,0.822,0.178,Very High Risk,89.24
BRW-00453,0.0839,0.9161,Low Risk,10.48
BRW-00454,0.1021,0.8979,Low Risk,0.0
BRW-00455,0.104,0.896,Low Risk,20.94
BRW-00456,0.142,0.858,Low Risk,13.22
BRW-00457,0.384,0.616,Medium Risk,61.09
BRW-00458,0.1057,0.8943,Low Risk,0.0
BRW-00459,0.0646,0.9354,Low Risk,0.0
BRW-00460,0.1919,0.8081,Low Risk,2.93
BRW-00461,0.0726,0.9274,Low Risk,18.43
BRW-00462,0.0803,0.9197,Low Risk,0.0
BRW-00463,0.0509,0.9491,Low Risk,0.0
BRW-00464,0.0424,0.9576,Low Risk,0.0
BRW-00465,0.2502,0.7498,Low Risk,0.0
BRW-00466,0.2817,0.7183,Low Risk,25.05
BRW-00467,0.1836,0.8164,Low Risk,22.51
BRW-00468,0.088,0.912,Low Risk,0.0
BRW-00469,0.0352,0.9648,Low Risk,0.0
BRW-00470,0.1099,0.8901,Low Risk,0.0
BRW-00471,0.2438,0.7562,Low Risk,29.23
BRW-00472,0.1225,0.8775,Low Risk,20.84
BRW-00473,0.1182,0.8818,Low Risk,0.0
BRW-00474,0.427,0.573,Medium Risk,57.68
BRW-00475,0.125,0.875,Low Risk,0.0
BRW-00476,0.1056,0.8944,Low Risk,0.76
BRW-00477,0.1666,0.8334,Low Risk,20.57
BRW-00478,0.156,0.844,Low Risk,40.12
BRW-00479,0.1805,0.8195,Low Risk,0.0
BRW-00480,0.2964,0.7036,Low Risk,0.0
BRW-00481,0.0861,0.9139,Low Risk,0.0
BRW-00482,0.764,0.236,High Risk,85.78
BRW-00483,0.1406,0.8594,Low Risk,8.61
BRW-00484,0.4325,0.5675,Medium Risk,70.15
BRW-00485,0.1322,0.8678,Low Risk,0.0
BRW-00486,0.1056,0.8944,Low Risk,17.21
BRW-00487,0.0905,0.9095,Low Risk,0.0
BRW-00488,0.0442,0.9558,Low Risk,0.0
BRW-00489,0.2902,0.7098,Low Risk,0.0
BRW-00490,0.0679,0.9321,Low Risk,0.0
BRW-00491,0.1144,0.8856,Low Risk,0.0
BRW-00492,0.6278,0.3722,High Risk,80.1
BRW-00493,0.1111,0.8889,Low Risk,14.85
BRW-00494,0.1022,0.8978,Low Risk,0.0
BRW-00495,0.2487,0.7513,Low Risk,0.0
BRW-00496,0.2099,0.7901,Low Risk,0.0
BRW-00497,0.1129,0.8871,Low Risk,21.63
BRW-00498,0.1912,0.8088,Low Risk,40.13
BRW-00499,0.175,0.825,Low Risk,0.0
BRW-00500,0.3028,0.6972,Medium Risk,47.55
BRW-00501,0.258,0.742,Low Risk,37.05
BRW-00502,0.4935,0.5065,Medium Risk,48.16
BRW-00503,0.1149,0.8851,Low Risk,27.09
BRW-00504,0.1365,0.8635,Low Risk,0.0
BRW-00505,0.2262,0.7738,Low Risk,0.0
BRW-00506,0.2334,0.7666,Low Risk,0.0
BRW-00507,0.1165,0.8835,Low Risk,0.0
BRW-00508,0.0902,0.9098,Low Risk,0.0
BRW-00509,0.2204,0.7796,Low Risk,0.0
BRW-00510,0.1282,0.8718,Low Risk,0.0
BRW-00511,0.1834,0.8166,Low Risk,0.0
BRW-00512,0.2959,0.7041,Low Risk,0.0
BRW-00513,0.0592,0.9408,Low Risk,0.0
BRW-00514,0.8321,0.1679,Very High Risk,83.21
BRW-00515,0.2015,0.7985,Low Risk,37.22
BRW-00516,0.1186,0.8814,Low Risk,25.4
BRW-00517,0.1144,0.8856,Low Risk,19.31
BRW-00518,0.0957,0.9043,Low Risk,0.0
