borrower_id,risk_segment,recommended_action,compliance_status,violation_reason
BRW-01037,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01691,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02307,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04977,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-04956,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03662,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02546,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03059,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02767,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00430,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Vulnerable customer (age >= 60 & low income); Aggressive communication risk – excessive prior attempts
BRW-02033,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03328,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01099,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00531,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03364,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01353,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04460,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00815,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00967,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00388,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02713,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01950,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03171,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04153,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03242,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01177,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5); Vulnerable customer (age >= 60 & low income)
BRW-02100,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04182,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02622,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00080,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01216,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02192,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04752,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02172,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00697,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04097,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03729,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03046,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01782,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00614,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01669,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00216,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04123,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02093,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03475,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04586,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01193,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-01990,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00116,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01695,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04367,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01329,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00918,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02949,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02533,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-03544,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00013,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03607,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04292,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03537,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04018,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03789,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04720,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-03953,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03137,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02193,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00733,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01255,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04259,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03993,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02514,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01648,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-01008,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01155,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01870,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03135,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00034,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03468,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02361,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02860,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-04829,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04021,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01567,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01519,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04843,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03094,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00706,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-01561,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01873,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00776,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04895,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00090,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01217,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-04023,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03885,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01354,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00375,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-02895,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01757,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03232,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00051,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00668,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03697,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02914,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01828,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02094,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01559,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03762,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00109,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04069,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02961,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01403,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03034,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04104,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00665,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00339,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02708,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03495,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01939,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02781,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03300,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02044,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02291,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01609,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01190,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03451,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03619,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-03463,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02595,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03398,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00063,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00059,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-00588,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04587,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02396,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02722,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04844,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04298,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-00941,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-01426,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04943,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04969,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04808,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00806,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00193,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-04783,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04434,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02257,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-00346,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04121,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04635,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04179,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-00790,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01618,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-04787,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01302,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00115,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03086,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-02185,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01409,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03792,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-03298,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02253,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-01780,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-04307,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00340,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04576,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02493,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01953,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00690,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-02297,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00817,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04794,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-02228,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01960,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01199,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-01943,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04473,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03674,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04297,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00291,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00880,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00945,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
