borrower_id,repayment_probability,risk_segment,priority_score,recommended_action,urgency_level,priority_rank
BRW-03463,0.312,High Risk,0.688,Field collection escalation,High,145
BRW-02595,0.313,High Risk,0.687,Field collection escalation,High,146
BRW-03398,0.3136,High Risk,0.6864,Field collection escalation,High,147
BRW-00063,0.3139,High Risk,0.6861,Field collection escalation,High,148
BRW-00059,0.3152,High Risk,0.6848,Field collection escalation,High,149
BRW-00588,0.3154,High Risk,0.6846,Field collection escalation,High,150
BRW-04587,0.3156,High Risk,0.6844,Field collection escalation,High,151
BRW-02396,0.3157,High Risk,0.6843,Field collection escalation,High,152
BRW-02722,0.3157,High Risk,0.6843,Field collection escalation,High,153
BRW-04844,0.3157,High Risk,0.6843,Field collection escalation,High,154
BRW-04298,0.3159,High Risk,0.6841,Field collection escalation,High,155
BRW-00941,0.3161,High Risk,0.6839,Field collection escalation,High,156
BRW-01426,0.3161,High Risk,0.6839,Field collection escalation,High,157
BRW-04943,0.3161,High Risk,0.6839,Field collection escalation,High,158
BRW-04969,0.3164,High Risk,0.6836,Field collection escalation,High,159
BRW-04808,0.3167,High Risk,0.6833,Field collection escalation,High,160
BRW-00806,0.3169,High Risk,0.6831,Field collection escalation,High,161
BRW-00193,0.317,High Risk,0.683,Field collection escalation,High,162
BRW-04783,0.3171,High Risk,0.6829,Field collection escalation,High,163
BRW-04434,0.3172,High Risk,0.6828,Field collection escalation,High,164
BRW-02257,0.3172,High Risk,0.6828,Field collection escalation,High,165
BRW-00346,0.3174,High Risk,0.6826,Field collection escalation,High,166
BRW-04121,0.3176,High Risk,0.6824,Field collection escalation,High,167
BRW-04635,0.3179,High Risk,0.6821,Field collection escalation,High,168
BRW-04179,0.3183,High Risk,0.6817,Field collection escalation,High,169
BRW-00790,0.3187,High Risk,0.6813,Field collection escalation,High,170
BRW-01618,0.319,High Risk,0.681,Field collection escalation,High,171
BRW-04787,0.3204,High Risk,0.6796,Field collection escalation,High,172
BRW-01302,0.3205,High Risk,0.6795,Field collection escalation,High,173
BRW-00115,0.3207,High Risk,0.6793,Field collection escalation,High,174
BRW-03086,0.3208,High Risk,0.6792,Field collection escalation,High,175
BRW-02185,0.3208,High Risk,0.6792,Field collection escalation,High,176
BRW-01409,0.3214,High Risk,0.6786,Field collection escalation,High,177
BRW-03792,0.3216,High Risk,0.6784,Field collection escalation,High,178
BRW-03298,0.322,High Risk,0.678,Field collection escalation,High,179
BRW-02253,0.323,High Risk,0.677,Field collection escalation,High,180
BRW-01780,0.3231,High Risk,0.6769,Field collection escalation,High,181
BRW-04307,0.3232,High Risk,0.6768,Field collection escalation,High,182
BRW-00340,0.3237,High Risk,0.6763,Field collection escalation,High,183
BRW-04576,0.3238,High Risk,0.6762,Field collection escalation,High,184
BRW-02493,0.3239,High Risk,0.6761,Field collection escalation,High,185
BRW-01953,0.3242,High Risk,0.6758,Field collection escalation,High,186
BRW-00690,0.3244,High Risk,0.6756,Field collection escalation,High,187
BRW-02297,0.3246,High Risk,0.6754,Field collection escalation,High,188
BRW-00817,0.3246,High Risk,0.6754,Field collection escalation,High,189
BRW-04794,0.3254,High Risk,0.6746,Field collection escalation,High,190
BRW-02228,0.3258,High Risk,0.6742,Field collection escalation,High,191
BRW-01960,0.3263,High Risk,0.6737,Field collection escalation,High,192
BRW-01199,0.3266,High Risk,0.6734,Field collection escalation,High,193
BRW-01943,0.3268,High Risk,0.6732,Field collection escalation,High,194
BRW-04473,0.3269,High Risk,0.6731,Field collection escalation,High,195
BRW-03674,0.3269,High Risk,0.6731,Field collection escalation,High,196
BRW-04297,0.327,High Risk,0.673,Field collection escalation,High,197
BRW-00291,0.3277,High Risk,0.6723,Field collection escalation,High,198
BRW-00880,0.328,High Risk,0.672,Field collection escalation,High,199
BRW-00945,0.3281,High Risk,0.6719,Field collection escalation,High,200
BRW-02186,0.3287,High Risk,0.6713,Field collection escalation,High,201
BRW-00144,0.3289,High Risk,0.6711,Field collection escalation,High,202
BRW-03737,0.3289,High Risk,0.6711,Field collection escalation,High,203
BRW-00468,0.3289,High Risk,0.6711,Field collection escalation,High,204
BRW-00758,0.329,High Risk,0.671,Field collection escalation,High,205
BRW-00537,0.3292,High Risk,0.6708,Field collection escalation,High,206
BRW-00615,0.3292,High Risk,0.6708,Field collection escalation,High,207
BRW-04235,0.3295,High Risk,0.6705,Field collection escalation,High,208
BRW-01083,0.3301,High Risk,0.6699,Field collection escalation,High,209
BRW-03270,0.3305,High Risk,0.6695,Field collection escalation,High,210
BRW-02826,0.3305,High Risk,0.6695,Field collection escalation,High,211
BRW-01508,0.3305,High Risk,0.6695,Field collection escalation,High,212
BRW-00427,0.3306,High Risk,0.6694,Field collection escalation,High,213
BRW-01596,0.3312,High Risk,0.6688,Field collection escalation,High,214
BRW-02995,0.3313,High Risk,0.6687,Field collection escalation,High,215
BRW-03568,0.3314,High Risk,0.6686,Field collection escalation,High,216
BRW-02982,0.3319,High Risk,0.6681,Field collection escalation,High,217
BRW-01254,0.3322,High Risk,0.6678,Field collection escalation,High,218
BRW-00325,0.3326,High Risk,0.6674,Field collection escalation,High,219
BRW-02482,0.3329,High Risk,0.6671,Field collection escalation,High,220
BRW-03751,0.333,High Risk,0.667,Field collection escalation,High,221
BRW-01347,0.333,High Risk,0.667,Field collection escalation,High,222
BRW-01472,0.3331,High Risk,0.6669,Field collection escalation,High,223
BRW-01611,0.3339,High Risk,0.6661,Field collection escalation,High,224
BRW-03624,0.3339,High Risk,0.6661,Field collection escalation,High,225
BRW-03448,0.334,High Risk,0.666,Field collection escalation,High,226
BRW-00678,0.3343,High Risk,0.6657,Field collection escalation,High,227
BRW-02953,0.3346,High Risk,0.6654,Field collection escalation,High,228
BRW-01501,0.3349,High Risk,0.6651,Field collection escalation,High,229
BRW-04585,0.3356,High Risk,0.6644,Field collection escalation,High,230
BRW-04911,0.3358,High Risk,0.6642,Field collection escalation,High,231
BRW-03521,0.3359,High Risk,0.6641,Field collection escalation,High,232
BRW-03376,0.336,High Risk,0.664,Field collection escalation,High,233
BRW-00851,0.3363,High Risk,0.6637,Field collection escalation,High,234
BRW-02247,0.3364,High Risk,0.6636,Field collection escalation,High,235
BRW-04628,0.3372,High Risk,0.6628,Field collection escalation,High,236
BRW-04757,0.3377,High Risk,0.6623,Field collection escalation,High,237
BRW-02557,0.3379,High Risk,0.6621,Field collection escalation,High,238
BRW-01289,0.339,High Risk,0.661,Field collection escalation,High,239
BRW-04420,0.3402,High Risk,0.6598,Field collection escalation,High,240
BRW-03427,0.3405,High Risk,0.6595,Field collection escalation,High,241
BRW-00669,0.3408,High Risk,0.6592,Field collection escalation,High,242
BRW-03666,0.3408,High Risk,0.6592,Field collection escalation,High,243
BRW-04806,0.3409,High Risk,0.6591,Field collection escalation,High,244
BRW-00094,0.3416,High Risk,0.6584,Field collection escalation,High,245
BRW-02055,0.3418,High Risk,0.6582,Field collection escalation,High,246
BRW-03806,0.3419,High Risk,0.6581,Field collection escalation,High,247
BRW-03191,0.342,High Risk,0.658,Field collection escalation,High,248
BRW-01103,0.342,High Risk,0.658,Field collection escalation,High,249
BRW-00820,0.3421,High Risk,0.6579,Field collection escalation,High,250
BRW-03926,0.3422,High Risk,0.6578,Field collection escalation,High,251
BRW-01957,0.3423,High Risk,0.6577,Field collection escalation,High,252
BRW-01792,0.3427,High Risk,0.6573,Field collection escalation,High,253
BRW-02823,0.3427,High Risk,0.6573,Field collection escalation,High,254
BRW-04359,0.3428,High Risk,0.6572,Field collection escalation,High,255
BRW-01751,0.3429,High Risk,0.6571,Field collection escalation,High,256
BRW-01230,0.343,High Risk,0.657,Field collection escalation,High,257
BRW-01621,0.343,High Risk,0.657,Field collection escalation,High,258
BRW-01547,0.3439,High Risk,0.6561,Field collection escalation,High,259
BRW-00223,0.344,High Risk,0.656,Field collection escalation,High,260
BRW-02386,0.3441,High Risk,0.6559,Field collection escalation,High,261
BRW-04982,0.3441,High Risk,0.6559,Field collection escalation,High,262
BRW-04825,0.3442,High Risk,0.6558,Field collection escalation,High,263
BRW-01461,0.3444,High Risk,0.6556,Field collection escalation,High,264
BRW-00095,0.3449,High Risk,0.6551,Field collection escalation,High,265
BRW-03888,0.3451,High Risk,0.6549,Field collection escalation,High,266
BRW-02867,0.3452,High Risk,0.6548,Field collection escalation,High,267
BRW-02957,0.3453,High Risk,0.6547,Field collection escalation,High,268
BRW-00463,0.3458,High Risk,0.6542,Field collection escalation,High,269
BRW-01271,0.3464,High Risk,0.6536,Field collection escalation,High,270
BRW-02195,0.3465,High Risk,0.6535,Field collection escalation,High,271
BRW-00712,0.3467,High Risk,0.6533,Field collection escalation,High,272
BRW-01935,0.3467,High Risk,0.6533,Field collection escalation,High,273
BRW-02083,0.3469,High Risk,0.6531,Field collection escalation,High,274
BRW-03730,0.3474,High Risk,0.6526,Field collection escalation,High,275
BRW-03556,0.3476,High Risk,0.6524,Field collection escalation,High,276
BRW-00449,0.3478,High Risk,0.6522,Field collection escalation,High,277
BRW-01818,0.3478,High Risk,0.6522,Field collection escalation,High,278
BRW-01702,0.3478,High Risk,0.6522,Field collection escalation,High,279
BRW-02573,0.348,High Risk,0.652,Field collection escalation,High,280
BRW-03713,0.3486,High Risk,0.6514,Field collection escalation,High,281
BRW-03748,0.3486,High Risk,0.6514,Field collection escalation,High,282
BRW-04755,0.3486,High Risk,0.6514,Field collection escalation,High,283
BRW-02204,0.3491,High Risk,0.6509,Field collection escalation,High,284
BRW-02005,0.3492,High Risk,0.6508,Field collection escalation,High,285
BRW-01276,0.3493,High Risk,0.6507,Field collection escalation,High,286
BRW-01232,0.3493,High Risk,0.6507,Field collection escalation,High,287
BRW-01165,0.3493,High Risk,0.6507,Field collection escalation,High,288
BRW-00957,0.3494,High Risk,0.6506,Field collection escalation,High,289
BRW-02384,0.3494,High Risk,0.6506,Field collection escalation,High,290
BRW-00887,0.3495,High Risk,0.6505,Field collection escalation,High,291
BRW-00150,0.3495,High Risk,0.6505,Field collection escalation,High,292
BRW-03820,0.3496,High Risk,0.6504,Field collection escalation,High,293
BRW-02423,0.3498,High Risk,0.6502,Field collection escalation,High,294
BRW-02837,0.35,High Risk,0.65,Field collection escalation,High,295
BRW-03948,0.3501,High Risk,0.6499,Field collection escalation,High,296
BRW-03594,0.3504,High Risk,0.6496,Field collection escalation,High,297
BRW-01513,0.3504,High Risk,0.6496,Field collection escalation,High,298
BRW-01111,0.3512,High Risk,0.6488,Field collection escalation,High,299
BRW-00123,0.3514,High Risk,0.6486,Field collection escalation,High,300
BRW-03549,0.3515,High Risk,0.6485,Field collection escalation,High,301
BRW-01135,0.3518,High Risk,0.6482,Field collection escalation,High,302
BRW-00582,0.3519,High Risk,0.6481,Field collection escalation,High,303
BRW-03811,0.3519,High Risk,0.6481,Field collection escalation,High,304
BRW-03966,0.3521,High Risk,0.6479,Field collection escalation,High,305
BRW-04763,0.3522,High Risk,0.6478,Field collection escalation,High,306
BRW-00613,0.3522,High Risk,0.6478,Field collection escalation,High,307
BRW-04556,0.3523,High Risk,0.6477,Field collection escalation,High,308
BRW-01626,0.3526,High Risk,0.6474,Field collection escalation,High,309
BRW-01039,0.3526,High Risk,0.6474,Field collection escalation,High,310
BRW-03775,0.3527,High Risk,0.6473,Field collection escalation,High,311
BRW-00709,0.3527,High Risk,0.6473,Field collection escalation,High,312
BRW-04231,0.353,High Risk,0.647,Field collection escalation,High,313
BRW-02891,0.353,High Risk,0.647,Field collection escalation,High,314
BRW-04553,0.353,High Risk,0.647,Field collection escalation,High,315
BRW-02106,0.3533,High Risk,0.6467,Field collection escalation,High,316
BRW-04085,0.3533,High Risk,0.6467,Field collection escalation,High,317
BRW-04820,0.3537,High Risk,0.6463,Field collection escalation,High,318
BRW-02858,0.3538,High Risk,0.6462,Field collection escalation,High,319
BRW-01138,0.3539,High Risk,0.6461,Field collection escalation,High,320
BRW-03845,0.3539,High Risk,0.6461,Field collection escalation,High,321
BRW-03017,0.3541,High Risk,0.6459,Field collection escalation,High,322
BRW-03874,0.3542,High Risk,0.6458,Field collection escalation,High,323
BRW-00656,0.3542,High Risk,0.6458,Field collection escalation,High,324
BRW-00650,0.3543,High Risk,0.6457,Field collection escalation,High,325
BRW-00517,0.3543,High Risk,0.6457,Field collection escalation,High,326
BRW-00802,0.3545,High Risk,0.6455,Field collection escalation,High,327
BRW-03848,0.3547,High Risk,0.6453,Field collection escalation,High,328
BRW-00074,0.3552,High Risk,0.6448,Field collection escalation,High,329
BRW-02157,0.3554,High Risk,0.6446,Field collection escalation,High,330
BRW-00358,0.3554,High Risk,0.6446,Field collection escalation,High,331
BRW-00024,0.3556,High Risk,0.6444,Field collection escalation,High,332
BRW-01344,0.3557,High Risk,0.6443,Field collection escalation,High,333
BRW-03529,0.3558,High Risk,0.6442,Field collection escalation,High,334
BRW-02825,0.3559,High Risk,0.6441,Field collection escalation,High,335
BRW-04424,0.3562,High Risk,0.6438,Field collection escalation,High,336
BRW-00283,0.3563,High Risk,0.6437,Field collection escalation,High,337
BRW-00104,0.3565,High Risk,0.6435,Field collection escalation,High,338
BRW-03692,0.3566,High Risk,0.6434,Field collection escalation,High,339
BRW-00396,0.3566,High Risk,0.6434,Field collection escalation,High,340
BRW-02564,0.3567,High Risk,0.6433,Field collection escalation,High,341
BRW-01712,0.357,High Risk,0.643,Field collection escalation,High,342
BRW-00053,0.3574,High Risk,0.6426,Field collection escalation,High,343
BRW-03461,0.3574,High Risk,0.6426,Field collection escalation,High,344
BRW-01999,0.3575,High Risk,0.6425,Field collection escalation,High,345
BRW-02876,0.3577,High Risk,0.6423,Field collection escalation,High,346
BRW-03813,0.3577,High Risk,0.6423,Field collection escalation,High,347
BRW-02163,0.3577,High Risk,0.6423,Field collection escalation,High,348
BRW-01951,0.3577,High Risk,0.6423,Field collection escalation,High,349
BRW-03995,0.3578,High Risk,0.6422,Field collection escalation,High,350
BRW-02473,0.3578,High Risk,0.6422,Field collection escalation,High,351
BRW-00244,0.358,High Risk,0.642,Field collection escalation,High,352
BRW-02520,0.3582,High Risk,0.6418,Field collection escalation,High,353
BRW-02184,0.3583,High Risk,0.6417,Field collection escalation,High,354
BRW-03838,0.3585,High Risk,0.6415,Field collection escalation,High,355
BRW-03640,0.3585,High Risk,0.6415,Field collection escalation,High,356
BRW-04306,0.3587,High Risk,0.6413,Field collection escalation,High,357
BRW-04782,0.3588,High Risk,0.6412,Field collection escalation,High,358
BRW-02698,0.359,High Risk,0.641,Field collection escalation,High,359
BRW-00260,0.359,High Risk,0.641,Field collection escalation,High,360
BRW-01331,0.3591,High Risk,0.6409,Field collection escalation,High,361
BRW-03654,0.3592,High Risk,0.6408,Field collection escalation,High,362
BRW-03984,0.3593,High Risk,0.6407,Field collection escalation,High,363
BRW-00168,0.3594,High Risk,0.6406,Field collection escalation,High,364
BRW-03187,0.3594,High Risk,0.6406,Field collection escalation,High,365
BRW-02453,0.3596,High Risk,0.6404,Field collection escalation,High,366
BRW-03047,0.3597,High Risk,0.6403,Field collection escalation,High,367
BRW-02701,0.3598,High Risk,0.6402,Field collection escalation,High,368
BRW-00634,0.36,High Risk,0.64,Field collection escalation,High,369
BRW-00372,0.36,High Risk,0.64,Field collection escalation,High,370
BRW-03722,0.3602,High Risk,0.6398,Field collection escalation,High,371
BRW-01278,0.3602,High Risk,0.6398,Field collection escalation,High,372
BRW-01868,0.3604,High Risk,0.6396,Field collection escalation,High,373
BRW-02592,0.3606,High Risk,0.6394,Field collection escalation,High,374
BRW-01034,0.3608,High Risk,0.6392,Field collection escalation,High,375
BRW-01074,0.3609,High Risk,0.6391,Field collection escalation,High,376
BRW-01613,0.3609,High Risk,0.6391,Field collection escalation,High,377
BRW-00963,0.361,High Risk,0.639,Field collection escalation,High,378
BRW-02944,0.3611,High Risk,0.6389,Field collection escalation,High,379
BRW-03648,0.3611,High Risk,0.6389,Field collection escalation,High,380
BRW-03130,0.3613,High Risk,0.6387,Field collection escalation,High,381
BRW-03833,0.3613,High Risk,0.6387,Field collection escalation,High,382
BRW-02422,0.3615,High Risk,0.6385,Field collection escalation,High,383
BRW-02978,0.3617,High Risk,0.6383,Field collection escalation,High,384
BRW-04037,0.3617,High Risk,0.6383,Field collection escalation,High,385
BRW-03611,0.3618,High Risk,0.6382,Field collection escalation,High,386
BRW-03155,0.3619,High Risk,0.6381,Field collection escalation,High,387
BRW-02543,0.3619,High Risk,0.6381,Field collection escalation,High,388
BRW-00511,0.3619,High Risk,0.6381,Field collection escalation,High,389
BRW-03880,0.362,High Risk,0.638,Field collection escalation,High,390
BRW-04314,0.3621,High Risk,0.6379,Field collection escalation,High,391
BRW-04299,0.3622,High Risk,0.6378,Field collection escalation,High,392
BRW-03974,0.3622,High Risk,0.6378,Field collection escalation,High,393
BRW-01327,0.3622,High Risk,0.6378,Field collection escalation,High,394
BRW-01000,0.3624,High Risk,0.6376,Field collection escalation,High,395
BRW-04197,0.3627,High Risk,0.6373,Field collection escalation,High,396
BRW-00543,0.3628,High Risk,0.6372,Field collection escalation,High,397
BRW-04693,0.3633,High Risk,0.6367,Field collection escalation,High,398
BRW-02869,0.3633,High Risk,0.6367,Field collection escalation,High,399
BRW-00745,0.3639,High Risk,0.6361,Field collection escalation,High,400
BRW-01293,0.364,High Risk,0.636,Field collection escalation,High,401
BRW-01221,0.3646,High Risk,0.6354,Field collection escalation,High,402
BRW-02538,0.3647,High Risk,0.6353,Field collection escalation,High,403
BRW-01964,0.3648,High Risk,0.6352,Field collection escalation,High,404
BRW-02760,0.365,High Risk,0.635,Field collection escalation,High,405
BRW-04480,0.3652,High Risk,0.6348,Field collection escalation,High,406
BRW-04181,0.3653,High Risk,0.6347,Field collection escalation,High,407
BRW-02074,0.3655,High Risk,0.6345,Field collection escalation,High,408
BRW-03555,0.3655,High Risk,0.6345,Field collection escalation,High,409
BRW-03291,0.3656,High Risk,0.6344,Field collection escalation,High,410
BRW-03784,0.3663,High Risk,0.6337,Field collection escalation,High,411
BRW-04488,0.3664,High Risk,0.6336,Field collection escalation,High,412
